impl,config,mesh_file,mesh_display,grid_res,num_triangles,runs,mean_ms,stdev_ms,min_ms,max_ms,speedup_vs_seq
openmp,omp_4t,data/person_0001.off,person_0001.off,64,22509,3,6.008811,4.480801,3.105847,11.169360,1.627371
openmp,omp_8t,data/person_0001.off,person_0001.off,64,22509,3,12.427369,9.198177,1.834815,18.398043,0.786857
pthreads,pth_1t,data/person_0001.off,person_0001.off,64,22509,3,10.066397,0.264335,9.876709,10.368332,0.971407
pthreads,pth_4t,data/person_0001.off,person_0001.off,64,22509,3,4.131753,0.779255,3.526572,5.011020,2.366687
pthreads,pth_8t,data/person_0001.off,person_0001.off,64,22509,3,3.861600,1.275426,2.652261,5.194168,2.532258
mpi,mpi_1p,data/person_0001.off,person_0001.off,64,22509,3,10.515503,0.403586,10.145169,10.945663,0.929919
mpi,mpi_4p,data/person_0001.off,person_0001.off,64,22509,3,7.511269,2.252141,5.330659,9.828703,1.301853
mpi,mpi_8p,data/person_0001.off,person_0001.off,64,22509,3,4.432363,0.817992,3.517201,5.092352,2.206174
cuda,cuda_64tpb,data/person_0001.off,person_0001.off,64,22509,3,1.214379,1.287772,0.459520,2.701312,8.052320
cuda,cuda_128tpb,data/person_0001.off,person_0001.off,64,22509,3,0.615765,0.130319,0.476160,0.734208,15.880345
cuda,cuda_256tpb,data/person_0001.off,person_0001.off,64,22509,3,0.601088,0.151569,0.460800,0.761856,16.268110
sequential,seq_1t,data/piano_0001.off,piano_0001.off,64,16719,3,7.546287,0.110639,7.424629,7.640887,1.000000
openmp,omp_1t,data/piano_0001.off,piano_0001.off,64,16719,3,7.537696,0.137670,7.382493,7.645083,1.001140
openmp,omp_4t,data/piano_0001.off,piano_0001.off,64,16719,3,3.839719,2.215189,2.537913,6.397462,1.965323
openmp,omp_8t,data/piano_0001.off,piano_0001.off,64,16719,3,9.919526,11.986649,2.174103,23.726324,0.760751
pthreads,pth_1t,data/piano_0001.off,piano_0001.off,64,16719,3,8.534168,0.406249,8.263276,9.001279,0.884244
pthreads,pth_4t,data/piano_0001.off,piano_0001.off,64,16719,3,3.027958,0.463942,2.746264,3.563430,2.492203
pthreads,pth_8t,data/piano_0001.off,piano_0001.off,64,16719,3,2.362691,0.127555,2.223393,2.473781,3.193938
mpi,mpi_1p,data/piano_0001.off,piano_0001.off,64,16719,3,7.763384,0.214587,7.532196,7.956191,0.972036
mpi,mpi_4p,data/piano_0001.off,piano_0001.off,64,16719,3,6.338407,2.420914,4.038576,8.864515,1.190565
mpi,mpi_8p,data/piano_0001.off,piano_0001.off,64,16719,3,5.017770,0.676918,4.358952,5.711442,1.503912
